Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Rhodomyrtoxin,LINCSCP_56661,VCAP,10uM,24h,NA,-0.26328263,NA,NA,NA
Prochlorperazine,LINCSCP_30197,MCF7,10uM,6h,4,-0.26322179,NA,0.21940275,NA
CEP-37440,LINCSCP_109347,HELA,10uM,24h,NA,-0.26298041,NA,NA,NA
GW843682X,LINCSCP_36727,MCF7,0.1uM,6h,NA,-0.26294384,NA,NA,NA
BRD-K46499837,LINCSCP_27318,HT29,10uM,6h,NA,-0.26283418,NA,NA,NA
Ponatinib,LINCSCP_251767,MCF7,0.5uM,24h,4,-0.26278914,NA,0.23066693,NA
Sphingosine,LINCSCP_2397,A375,10uM,6h,NA,-0.26278574,NA,NA,NA
SMR000217164,LINCSCP_57392,VCAP,10uM,6h,NA,-0.26273382,NA,NA,NA
AS601245,LINCSCP_115418,HS578T,1.11uM,3h,NA,-0.26269852,NA,NA,NA
BRD-K00429057,LINCSCP_271661,PC3,10uM,6h,NA,-0.26253572,NA,NA,NA
MLS003129547,LINCSCP_60550,VCAP,5uM,24h,NA,-0.26248053,NA,0.2506672,NA
PD-0325901,LINCSCP_147337,NEU,0.37uM,24h,2,-0.2624698,NA,NA,NA
MLS003128966,LINCSCP_60058,VCAP,5uM,24h,NA,-0.26245473,NA,0.21667354,NA
Ispinesib,LINCSCP_58753,VCAP,10uM,6h,NA,-0.26242167,NA,NA,NA
MLS003221407,LINCSCP_57724,VCAP,10uM,6h,NA,-0.26241035,NA,NA,NA
4-Hydroxy-retinoic acid,LINCSCP_13297,FIBRNPC,10uM,6h,NA,-0.26232928,NA,0.234532,NA
Gefitinib,LINCSCP_191485,A549,10uM,24h,4,-0.26221327,NA,0.25802918,NA
Nomegestrol Acetate,LINCSCP_55959,VCAP,10uM,24h,3,-0.26211752,NA,0.23749772,NA
Volasertib (BI 6727),LINCSCP_109185,HELA,10uM,24h,NA,-0.26175768,NA,NA,NA
Aminogenistein,LINCSCP_55621,VCAP,10uM,24h,NA,-0.26146115,NA,0.2232863,NA
CHEMBL2355469,LINCSCP_60386,VCAP,5uM,24h,NA,-0.26143365,NA,NA,-0.20570647
Moexipril,LINCSCP_11432,ASC,10uM,24h,4,-0.26130004,NA,0.24394398,NA
Quinacrine,LINCSCP_56781,VCAP,10uM,24h,2,-0.26129549,NA,0.22327709,NA
Metitepine,LINCSCP_47444,PC3,10uM,24h,NA,-0.26125845,NA,NA,NA
BRD-K41429297,LINCSCP_26403,HT29,10uM,6h,NA,-0.26118929,NA,NA,NA
AC1NSZSY,LINCSCP_140950,MCF7,0.04uM,24h,NA,-0.26113086,NA,NA,NA
ST50998727,LINCSCP_16297,HA1E,10uM,6h,NA,-0.26103523,NA,0.23697685,NA
BRD-K96989541,LINCSCP_61389,VCAP,5uM,6h,NA,-0.26097628,NA,NA,NA
BRD-K52981369,LINCSCP_63098,VCAP,5uM,24h,NA,-0.260902,NA,NA,NA
Norlichexanthone,LINCSCP_58432,VCAP,10uM,24h,NA,-0.26022266,NA,0.27877049,NA
BRD-K57321627,LINCSCP_59894,VCAP,5uM,24h,NA,-0.26017694,NA,NA,NA
Netupitant,LINCSCP_162734,PC3,10uM,24h,4,-0.25975005,NA,NA,NA
CCG-208102,LINCSCP_13256,FIBRNPC,10uM,24h,NA,-0.25962285,NA,NA,NA
CEPHARANTHINE,LINCSCP_126628,HT29,10uM,24h,NA,-0.25956691,NA,NA,-0.25198211
BRD-K43605845,LINCSCP_297165,VCAP,5uM,6h,NA,-0.25939191,NA,NA,NA
SA-1922111,LINCSCP_260938,NKDBA,1uM,24h,NA,-0.25906484,NA,NA,NA
AC1O9B1U,LINCSCP_6031,A549,10uM,6h,NA,-0.25900665,NA,0.21953346,NA
Dihydroegotamine,LINCSCP_56640,VCAP,10uM,24h,NA,-0.2588918,NA,NA,NA
"2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine",LINCSCP_280498,PC3,10uM,24h,NA,-0.25889128,NA,NA,-0.2124753
DMP 777,LINCSCP_171942,YAPC,10uM,24h,NA,-0.25876731,NA,NA,NA
KUC104545N,LINCSCP_57654,VCAP,10uM,6h,NA,-0.25875423,NA,NA,NA
TAK-715,LINCSCP_51648,SKBR3,1uM,6h,2,-0.25862869,NA,NA,NA
BRD-K42056004,LINCSCP_59765,VCAP,5uM,6h,NA,-0.25859288,NA,0.2496652,NA
CCG-207980,LINCSCP_13122,FIBRNPC,10uM,24h,NA,-0.25827024,NA,NA,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
THZ-2-98-01,LINCSCP_29521,MCF10A,0.5uM,24h,NA,-0.25808968,NA,0.20803769,NA
GR-144053,LINCSCP_55633,VCAP,10uM,24h,NA,-0.25794925,NA,0.24760049,NA
AZD7545,LINCSCP_15339,HA1E,20uM,24h,NA,-0.25787232,NA,NA,NA
AZD7545,LINCSCP_15339,HA1E,20uM,24h,NA,-0.25787232,NA,NA,NA
Kolestevan,LINCSCP_56655,VCAP,10uM,24h,NA,-0.25770654,NA,NA,NA
CHEMBL2136735,LINCSCP_69464,A375,10uM,24h,NA,-0.25750379,NA,NA,NA
MLS000038106,LINCSCP_35848,MCF7,10uM,6h,NA,-0.25733306,NA,NA,NA
CHEMBL212197,LINCSCP_56213,VCAP,10uM,24h,NA,-0.25713433,NA,0.20624391,NA
BRD-A26787626-001-02-9,LINCSCP_180,A375,10uM,24h,NA,-0.25706906,NA,0.22671064,NA
"2-Phenyl-n-[4-(1,3-thiazol-2-ylsulfamoyl)phenyl]quinoline-4-carboxamide",LINCSCP_5207,A549,10uM,6h,NA,-0.2567077,NA,0.25647351,NA
CID 46937243,LINCSCP_1644,A375,10uM,6h,NA,-0.2566833,NA,0.33547381,NA
BRD-K81218586,LINCSCP_48136,PC3,5uM,24h,NA,-0.25650586,NA,0.21885352,NA
BRD-K14958998,LINCSCP_60845,VCAP,5uM,24h,NA,-0.25629788,NA,NA,NA
BRD-U86222656,LINCSCP_26318,HT29,10uM,6h,NA,-0.25628231,0.21919506,NA,-0.334156
Pinacidil,LINCSCP_75617,A375,0.37uM,24h,4,-0.25623002,NA,NA,NA
Clofibric acid,LINCSCP_108328,HELA,0.04uM,24h,NA,-0.25616598,NA,0.20524835,NA
Simvastatin,LINCSCP_102465,HELA,10uM,24h,4,-0.25612263,NA,NA,NA
JW 55,LINCSCP_84543,ASC,3.33uM,24h,NA,-0.25610741,NA,0.23499341,NA
Altanserin,LINCSCP_227385,HT29,10uM,6h,NA,-0.25607093,NA,NA,NA
LY-294002,LINCSCP_67507,MCF7,3uM,24h,NA,-0.25588976,NA,NA,NA
BRD-K46769156,LINCSCP_297175,VCAP,5uM,6h,NA,-0.25561181,NA,NA,NA
Iodophenpropit,LINCSCP_56165,VCAP,10uM,6h,NA,-0.25543959,NA,NA,NA
AZD4547,LINCSCP_169212,YAPC,10uM,24h,NA,-0.25532624,NA,NA,NA
Lidoflazine,LINCSCP_209001,HA1E,10uM,6h,4,-0.25530719,NA,NA,NA
SCHEMBL5945809,LINCSCP_27083,HT29,10uM,6h,NA,-0.2552769,NA,NA,NA
BRD-K28397270,LINCSCP_60112,VCAP,5uM,6h,NA,-0.25512091,NA,NA,NA
SCHEMBL6668531,LINCSCP_13875,HA1E,10uM,6h,NA,-0.25495839,NA,NA,NA
MLS003129672,LINCSCP_60801,VCAP,5uM,24h,NA,-0.25465558,-0.20867163,NA,NA
Oxethazaine,LINCSCP_47539,PC3,10uM,24h,3,-0.25459781,NA,NA,NA
HG-14-10-04,LINCSCP_133510,MCF7,1.11uM,24h,NA,-0.25444725,NA,NA,NA
BRD-K19189705,LINCSCP_59467,VCAP,10uM,24h,NA,-0.25421809,NA,0.30892193,NA
CHEMBL1474387,LINCSCP_1310,A375,10uM,6h,NA,-0.25417867,NA,NA,NA
Rabusertib,LINCSCP_117561,HT29,0.12uM,24h,2,-0.25408446,NA,0.34950632,NA
BRD-K60056908,LINCSCP_60216,VCAP,5uM,24h,NA,-0.25397063,NA,0.23375285,NA
MLS003130220,LINCSCP_298863,VCAP,5uM,6h,NA,-0.25389575,NA,NA,NA
PF431396,LINCSCP_29923,MCF10A,1uM,24h,NA,-0.25381506,NA,0.28700044,NA
BRD-K92209998,LINCSCP_61384,VCAP,5uM,6h,NA,-0.25378472,NA,NA,-0.2303654
Ursolic acid,LINCSCP_56921,VCAP,70uM,24h,NA,-0.2537276,NA,NA,NA
BRD-K90281509,LINCSCP_200845,A549,10uM,24h,NA,-0.25369502,NA,NA,NA
BRD-K38803221,LINCSCP_48965,PC3,10uM,24h,NA,-0.25363291,NA,NA,NA
MLS002607737,LINCSCP_26199,HT29,10uM,6h,NA,-0.2532874,NA,NA,NA
TAK-285,LINCSCP_159902,PC3,10uM,24h,1,-0.2531303,NA,NA,NA
BMS-754807,LINCSCP_13476,H1299,10uM,6h,2,-0.25304791,NA,NA,NA
AC1LUIBL,LINCSCP_22622,HEPG2,10uM,6h,NA,-0.25299974,NA,0.28922391,NA
ZINC21985599,LINCSCP_43293,NPC,10uM,6h,NA,-0.2529356,NA,NA,NA
BRD-K88652561,LINCSCP_62186,VCAP,5uM,24h,NA,-0.25292529,NA,0.22066511,NA
SB225002,LINCSCP_224177,HT29,10uM,6h,NA,-0.25286943,NA,NA,NA
LM-1685,LINCSCP_226013,HT29,10uM,6h,NA,-0.25283296,NA,NA,NA
BRD-K42466986,LINCSCP_298966,VCAP,5uM,6h,NA,-0.25275761,NA,NA,NA
Amlodipine,LINCSCP_14813,HA1E,10uM,6h,4,-0.2526496,NA,NA,NA
BRD-K50887310,LINCSCP_183936,A375,5uM,24h,NA,-0.25242775,NA,0.32407521,NA
AZ628,LINCSCP_11891,BT20,10uM,6h,NA,-0.25241041,NA,NA,0.2871699
ML 3163,LINCSCP_13960,HA1E,10uM,6h,NA,-0.25234464,NA,NA,NA
NCGC00010694,LINCSCP_26297,HT29,10uM,6h,NA,-0.25218109,NA,NA,NA
CHEMBL1270915,LINCSCP_57890,VCAP,10uM,6h,NA,-0.25215709,NA,NA,NA
BRD-K38841486,LINCSCP_279291,PC3,10uM,24h,NA,-0.25207139,-0.29514072,NA,0.21908015
Eplerenone,LINCSCP_72908,A375,0.37uM,24h,4,-0.25198465,NA,0.30507672,NA
BRD-K84567604,LINCSCP_62937,VCAP,5uM,24h,NA,-0.25190837,NA,0.26256987,NA
BRD-K74260403,LINCSCP_61279,VCAP,5uM,24h,NA,-0.25167027,NA,0.23493558,NA
BRD-K16950565,LINCSCP_8228,A549,5uM,24h,NA,-0.25098029,NA,0.25775036,NA
SMR000127896,LINCSCP_23195,HEPG2,10uM,6h,NA,-0.25097618,NA,NA,NA
BRD-K80169513,LINCSCP_48579,PC3,10uM,24h,NA,-0.25078013,NA,NA,NA
Rilpivirine,LINCSCP_156469,PC3,3.33uM,24h,4,-0.2500642,NA,NA,NA
VX-702,LINCSCP_52352,SKB,10uM,24h,2,-0.2499192,NA,NA,NA
BRD-K21363211,LINCSCP_60741,VCAP,5uM,24h,NA,-0.2498382,NA,0.31582142,NA
BRD4770,LINCSCP_58402,VCAP,10uM,24h,NA,-0.24982045,NA,NA,NA
ML7,LINCSCP_7536,A549,10uM,6h,NA,-0.24973625,NA,NA,NA
Lithocholic acid,LINCSCP_260093,NEU,10uM,6h,NA,-0.24967274,NA,0.24557793,NA
Gaboxadol,LINCSCP_137217,MCF7,0.37uM,24h,3,-0.24934544,NA,NA,NA
R428,LINCSCP_169800,YAPC,10uM,24h,NA,-0.24927286,NA,NA,NA
BRD-K65633533,LINCSCP_198793,A549,5uM,24h,NA,-0.24906281,NA,0.27843455,NA
BRD-K32628102,LINCSCP_279452,PC3,10uM,6h,NA,-0.24899343,NA,NA,NA
BRD-K71894218,LINCSCP_48820,PC3,10uM,24h,NA,-0.24889439,NA,NA,-0.24320154
PK04PUR_000067,LINCSCP_26466,HT29,10uM,6h,NA,-0.24882791,NA,NA,NA
C26H38O6,LINCSCP_59540,VCAP,10uM,6h,NA,-0.2487661,NA,NA,NA
BRD-K07591847,LINCSCP_64060,VCAP,5uM,6h,NA,-0.24865118,NA,0.24747293,NA
BRD-K00188019,LINCSCP_64346,VCAP,5uM,6h,NA,-0.24862783,NA,NA,NA
PCI-32765,LINCSCP_83127,ASC.C,0.04uM,24h,NA,-0.24856614,NA,0.30675086,NA
PNU-99194A,LINCSCP_220772,HEPG2,10uM,6h,NA,-0.24839691,NA,NA,NA
CHEMBL1982812,LINCSCP_16807,HA1E,10uM,6h,NA,-0.24832892,NA,0.32042861,NA
HMS2093P09,LINCSCP_56469,VCAP,10uM,6h,NA,-0.24828351,NA,NA,NA
PF 543,LINCSCP_28671,HT29,10uM,24h,NA,-0.24824001,NA,NA,NA
Nisoxetine,LINCSCP_80845,A375,1.11uM,24h,NA,-0.24808509,NA,NA,NA
BRD-A82197375,LINCSCP_169416,YAPC,10uM,24h,NA,-0.24804521,NA,0.20453024,NA
Lomerizine,LINCSCP_172169,YAPC,10uM,24h,NA,-0.24797933,NA,NA,NA
CHEMBL3183439,LINCSCP_16789,HA1E,10uM,6h,NA,-0.24795116,NA,0.20027194,NA
Phenacetin,LINCSCP_30208,MCF7,10uM,6h,4,-0.24792272,NA,NA,NA
PI-103,LINCSCP_103620,HELA,10uM,24h,NA,-0.2477785,NA,NA,NA
F1394-0084,LINCSCP_16337,HA1E,10uM,6h,NA,-0.24777519,NA,0.30936116,NA
MLS003129666,LINCSCP_60567,VCAP,5uM,24h,NA,-0.24736046,NA,0.22089624,NA
869288-64-2,LINCSCP_147235,NEU,0.37uM,24h,NA,-0.24728502,NA,NA,NA
"Temsirolimus (CCI-779, NSC 683864)",LINCSCP_154880,PC3,0.37uM,24h,NA,-0.24717429,NA,NA,NA
BRD-K62265198,LINCSCP_306620,VCAP,5uM,6h,NA,-0.24685621,NA,NA,-0.21605718
Salmeterol,LINCSCP_237991,MCF7,10uM,6h,4,-0.24669682,NA,NA,NA
CHEMBL3182146,LINCSCP_178209,A375,10uM,6h,NA,-0.24660347,NA,0.2697928,NA
Protriptyline,LINCSCP_157259,PC3,10uM,24h,4,-0.24656396,NA,NA,NA
CHEMBL2139002,LINCSCP_193799,A549,10uM,6h,NA,-0.24647114,NA,NA,NA
BRD-K84447176,LINCSCP_60244,VCAP,5uM,24h,NA,-0.24641548,NA,NA,-0.21142612
N9-Isopropylolomoucine,LINCSCP_39798,MDST8,100uM,6h,NA,-0.24626035,NA,0.22295805,NA
WHI-P97,LINCSCP_117900,HT29,0.37uM,24h,NA,-0.24615112,NA,0.29531376,NA
SMR000651464,LINCSCP_22037,HEPG2,10uM,6h,NA,-0.24593131,NA,NA,NA
Y-39983,LINCSCP_131814,MCF10A,10uM,3h,1,-0.24588834,NA,NA,NA
ZM-241385,LINCSCP_44298,PC3,10uM,6h,NA,-0.24549211,NA,NA,NA
CHEMBL3188661,LINCSCP_152216,PC3,3.33uM,24h,NA,-0.24514635,-0.23086635,-0.22422355,NA
BRD-K31067719-001-01-7,LINCSCP_61216,VCAP,5uM,24h,NA,-0.24492073,NA,0.20416865,NA
CHEMBL2358148,LINCSCP_60393,VCAP,5uM,24h,NA,-0.24480539,NA,NA,NA
LFM-A12,LINCSCP_289180,VCAP,10uM,24h,NA,-0.24472568,NA,NA,NA
Targinine,LINCSCP_75789,A375,0.37uM,24h,3,-0.24471542,NA,NA,NA
GSK-J2,LINCSCP_148043,NPC.CAS9,10uM,24h,NA,-0.24448994,NA,NA,NA
BRD-K12868556,LINCSCP_62434,VCAP,5uM,24h,NA,-0.2444727,NA,0.26871794,NA
RO-194603,LINCSCP_11323,ASC,10uM,24h,NA,-0.24442818,NA,0.26000734,NA
noscapine,LINCSCP_116764,HT29,3.33uM,24h,NA,-0.24439589,NA,NA,NA
Benproperine,LINCSCP_211057,HA1E,10uM,6h,NA,-0.24430836,NA,0.26536635,NA
KW-2478,LINCSCP_122434,HT29,10uM,24h,NA,-0.24424413,NA,NA,NA
"Apitolisib (gdc-0980, rg7422)",LINCSCP_163013,SKBR3,0.04uM,24h,NA,-0.24421261,0.25724044,NA,NA
Cyclopamine,LINCSCP_13915,HA1E,10uM,6h,NA,-0.24413896,NA,NA,NA
BRD-K89808696,LINCSCP_66061,VCAP,0.5uM,24h,NA,-0.24399323,NA,0.20873118,NA
XMD-16144,LINCSCP_6722,A549,10uM,6h,NA,-0.24396499,NA,NA,NA
BRD-K06759695,LINCSCP_59829,VCAP,5uM,24h,NA,-0.24387241,NA,0.26297394,NA
paroxetine,LINCSCP_172340,YAPC,10uM,24h,NA,-0.24382461,NA,NA,NA
BRD-K93433262-001-01-7,LINCSCP_17023,HA1E,10uM,6h,NA,-0.24371768,NA,0.21845789,NA
"ACE2 Inhibitor, MLN-4760",LINCSCP_95302,HA1E,1.11uM,24h,NA,-0.24363276,NA,NA,NA
Veliparib,LINCSCP_166279,SKL,0.37uM,24h,NA,-0.24359698,NA,NA,NA
CHEMBL1327417,LINCSCP_58411,VCAP,10uM,24h,NA,-0.24352472,NA,NA,NA
BRD-K54127914,LINCSCP_65994,VCAP,10uM,24h,NA,-0.24341335,NA,NA,-0.20452459
TAE-684,LINCSCP_295079,VCAP,10uM,6h,NA,-0.24331284,NA,NA,NA
AM 251,LINCSCP_269548,PC3,10uM,6h,NA,-0.24327953,NA,NA,NA
SPECTRUM_001028,LINCSCP_47521,PC3,10uM,24h,NA,-0.24320592,NA,NA,NA
Ranitidine,LINCSCP_174394,YAPC,0.04uM,24h,NA,-0.2431193,NA,NA,NA
Cyclobenzaprine,LINCSCP_170866,YAPC,10uM,24h,4,-0.24297005,NA,NA,NA
Goserelin,LINCSCP_80550,A375,10uM,24h,NA,-0.24286423,NA,0.25844599,NA
Goserelin,LINCSCP_80550,A375,10uM,24h,NA,-0.24286423,NA,0.25844599,NA
Goserelin,LINCSCP_80550,A375,10uM,24h,NA,-0.24286423,NA,0.25844599,NA
Goserelin,LINCSCP_80550,A375,10uM,24h,NA,-0.24286423,NA,0.25844599,NA
CHEMBL1880923,LINCSCP_22530,HEPG2,10uM,6h,NA,-0.24270559,NA,NA,NA
SCHEMBL2559280,LINCSCP_45826,PC3,10uM,6h,NA,-0.24262344,NA,NA,NA
CHEMBL2134588,LINCSCP_259139,NEU,10uM,24h,NA,-0.24257258,NA,0.21610505,NA
"3-Tropanyl-3,5-dichlorobenzoate",LINCSCP_208447,HA1E,10uM,6h,NA,-0.24254952,NA,NA,NA
SAN1_000362,LINCSCP_58719,VCAP,10uM,6h,NA,-0.24248209,NA,NA,NA
Palbociclib,LINCSCP_171713,YAPC,0.37uM,24h,4,-0.24243687,NA,NA,NA
UNII-CVL1685GPH,LINCSCP_106203,HELA,3.33uM,24h,NA,-0.2424138,NA,NA,NA
Foretinib,LINCSCP_116301,HT29,10uM,24h,2,-0.24237943,NA,NA,NA
TOFA,LINCSCP_79126,A375,0.37uM,24h,NA,-0.24213138,NA,NA,NA
BRD-K73434853,LINCSCP_64800,VCAP,10uM,6h,NA,-0.24210116,NA,0.26587602,NA
BRD-K05745188,LINCSCP_64863,VCAP,10uM,24h,NA,-0.24206274,NA,NA,NA
AZD 1480,LINCSCP_112871,HEPG2,0.04uM,24h,NA,-0.24188688,NA,NA,NA
CHEMBL3185699,LINCSCP_64284,VCAP,5uM,24h,NA,-0.24176521,NA,0.21267409,NA
"Ethyl 2-amino-1-cyclohexyl-1H-pyrrolo[2,3-b]quinoxaline-3-carboxylate",LINCSCP_58615,VCAP,10uM,24h,NA,-0.24172799,NA,NA,NA
Odq,LINCSCP_50098,PHH,10uM,24h,NA,-0.24166617,NA,0.20040463,NA
BRD-K36022244,LINCSCP_2971,A375,10uM,6h,NA,-0.24157855,NA,NA,NA
Tomelukast,LINCSCP_537,A375,10uM,6h,NA,-0.24138743,NA,NA,NA
BRD-K24656059,LINCSCP_41043,NEU,10uM,24h,NA,-0.24135704,NA,0.25689306,0.2256938
NVP-AUY922,LINCSCP_116307,HT29,10uM,24h,NA,-0.2413047,NA,NA,NA
17952-87-3,LINCSCP_22197,HEPG2,10uM,6h,NA,-0.24129807,NA,NA,NA
BRD-K32532498,LINCSCP_61588,VCAP,5uM,24h,NA,-0.2411663,NA,NA,NA
SUGA1_010064,LINCSCP_295073,VCAP,10uM,6h,NA,-0.24101853,NA,NA,NA
BW-723C86,LINCSCP_289706,VCAP,10uM,6h,NA,-0.24091464,NA,NA,NA
Methazolamide,LINCSCP_8028,A549,10uM,6h,NA,-0.24084436,NA,0.26979536,NA
CHEMBL2136492,LINCSCP_297962,VCAP,5uM,24h,NA,-0.2408205,NA,0.27982431,NA
"1-[2-(4-Methylphenyl)indolizin-3-yl]-2-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]ethanone",LINCSCP_190671,A549,10uM,6h,NA,-0.24078958,NA,NA,NA
PCL2_000057,LINCSCP_58780,VCAP,10uM,6h,NA,-0.24045612,NA,NA,NA
Pevonedistat,LINCSCP_29372,LOVO,10uM,6h,2,-0.24041792,NA,0.20966003,NA
BRD-K57841225,LINCSCP_61896,VCAP,5uM,6h,NA,-0.24031339,NA,0.24947314,NA
SU 11274,LINCSCP_69165,A375,10uM,24h,NA,-0.24028921,NA,NA,NA
Cisapride,LINCSCP_74322,A375,3.33uM,24h,4,-0.24025916,NA,NA,NA
PRL-3InhibitorI,LINCSCP_25720,HT29,40uM,6h,NA,-0.24014187,NA,0.2747819,NA
CHEMBL2356547,LINCSCP_60102,VCAP,5uM,24h,NA,-0.24010293,NA,0.21038869,NA
MLS002264403,LINCSCP_31441,MCF7,10uM,6h,NA,-0.24000915,NA,NA,NA
CHEMBL2355399,LINCSCP_295069,VCAP,10uM,6h,NA,-0.23998796,NA,NA,NA
SAN1_003817,LINCSCP_10794,ASC,10uM,24h,NA,-0.23985433,NA,NA,NA
Quetiapine,LINCSCP_281874,PHH,10uM,24h,4,-0.23968807,NA,0.27143403,NA
Paroxetine,LINCSCP_25189,HT29,10uM,6h,4,-0.23965419,NA,-0.23409436,NA
BRD-K19770227,LINCSCP_61744,VCAP,5uM,24h,NA,-0.23956257,NA,NA,NA
SGI-1776,LINCSCP_81781,A549,10uM,24h,1,-0.2395001,NA,NA,NA
BRD-K10211010,LINCSCP_48491,PC3,10uM,24h,NA,-0.2394315,NA,NA,NA
BRD-K20178228,LINCSCP_227613,HT29,10uM,6h,NA,-0.23941657,NA,NA,NA
ALX-5407,LINCSCP_291171,VCAP,10uM,24h,NA,-0.23937584,NA,0.21241365,NA
BRD-K44097254,LINCSCP_61345,VCAP,5uM,6h,NA,-0.23932274,NA,NA,NA
BRD-K09426613,LINCSCP_61409,VCAP,5uM,24h,NA,-0.2393021,NA,0.22199269,NA
PKC Beta Inhibitor,LINCSCP_10446,A673,10uM,6h,NA,-0.23922142,NA,NA,NA
Pentylenetetrazol,LINCSCP_33017,MCF7,10uM,6h,NA,-0.23915021,NA,0.29459121,NA
N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide,LINCSCP_283225,RMGI,0.5uM,6h,NA,-0.23913848,NA,0.21959425,NA
WH-4-023,LINCSCP_39015,MDAMB231,0.5uM,24h,NA,-0.23906103,NA,0.29182455,NA
Valdecoxib,LINCSCP_30759,MCF7,100uM,6h,4,-0.23887703,NA,NA,NA
BRD-K93800099,LINCSCP_28108,HT29,5uM,24h,NA,-0.23875993,NA,NA,NA
CHEMBL2359660,LINCSCP_60375,VCAP,5uM,24h,NA,-0.23868569,-0.2058859,0.27758522,NA
BRD-K60218284,LINCSCP_65166,VCAP,10uM,6h,NA,-0.23866659,NA,NA,NA
AC1NQXBX,LINCSCP_59543,VCAP,10uM,6h,NA,-0.238401,NA,NA,NA
PD-160170,LINCSCP_265332,PC3,10uM,6h,NA,-0.23829132,-0.21745756,0.26438608,NA
BRD-K70756309,LINCSCP_61642,VCAP,5uM,24h,NA,-0.23817243,NA,0.21790473,NA
BRD-K30837577,LINCSCP_63485,VCAP,5uM,24h,NA,-0.23789748,NA,NA,NA
BX 912,LINCSCP_64922,VCAP,0.5uM,24h,NA,-0.23772924,NA,NA,NA
BRD-K76358141,LINCSCP_63742,VCAP,5uM,24h,NA,-0.23769309,NA,0.23700377,NA
BRD-K37612077,LINCSCP_8487,A549,5uM,24h,NA,-0.23749368,NA,0.31676087000000003,NA
BRD-K40608370,LINCSCP_61882,VCAP,5uM,6h,NA,-0.23746247,NA,0.31571232,NA
MLS002729053,LINCSCP_22256,HEPG2,10uM,6h,NA,-0.23736618,NA,0.22261346,NA
BRD-K05001416,LINCSCP_8705,A549,5uM,24h,NA,-0.23730639,NA,NA,NA
BRD-K79967274,LINCSCP_61651,VCAP,5uM,24h,NA,-0.23722559,NA,0.23921384,NA
BRD-K89627562,LINCSCP_303425,VCAP,5uM,6h,NA,-0.23693938,NA,0.2333191,NA
Ifenprodil,LINCSCP_136618,MCF7,0.37uM,24h,4,-0.23687055,NA,NA,NA
BRD-K00541818,LINCSCP_122902,HT29,10uM,24h,NA,-0.23674009,NA,NA,NA
NCGC00346967-01,LINCSCP_82428,A549,10uM,24h,NA,-0.23672127,NA,NA,NA
K784-3187,LINCSCP_108346,HELA,0.04uM,24h,NA,-0.23664366,NA,0.20924879,NA
BRD-K85322309,LINCSCP_63534,VCAP,5uM,24h,NA,-0.23654722,NA,0.22236102,NA
VU0413807-2,LINCSCP_292228,VCAP,10uM,24h,NA,-0.23648085,NA,0.27451899,NA
"L-755,507",LINCSCP_26803,HT29,10uM,6h,NA,-0.23627787,NA,NA,NA
CHEMBL2355724,LINCSCP_60404,VCAP,5uM,24h,NA,-0.23624056,NA,NA,NA
SB271046,LINCSCP_78268,A375,10uM,24h,NA,-0.23615026,NA,NA,NA
UNC 669,LINCSCP_146831,NEU,10uM,24h,NA,-0.23608089,NA,0.24372568,NA
84215-10-1,LINCSCP_180118,A375,10uM,6h,NA,-0.23602923,NA,NA,NA
BRD-K80779790,LINCSCP_3736,A375,10uM,24h,NA,-0.23590605,NA,NA,NA
PSB 36,LINCSCP_44692,PC3,10uM,24h,NA,-0.23579546,NA,NA,NA
BRD-K55343182,LINCSCP_60308,VCAP,5uM,6h,NA,-0.23571876,NA,NA,NA
BRD-K71531260,LINCSCP_61815,VCAP,5uM,24h,NA,-0.23563137,NA,0.22279392,NA
MDM2 Inhibitor,LINCSCP_22984,HEPG2,10uM,6h,NA,-0.23562318,-0.23736773,NA,NA
BRD-K35669573,LINCSCP_22351,HEPG2,10uM,6h,NA,-0.23534197,-0.24386416,NA,NA
Alisertib,LINCSCP_174689,YAPC,10uM,24h,3,-0.23530243,NA,NA,NA
BH3I 1,LINCSCP_204292,ASC,10uM,24h,NA,-0.23524727,NA,NA,NA
L 2167,LINCSCP_26739,HT29,10uM,6h,NA,-0.23514371,NA,0.22738123,NA
